epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2869.75,1.15381,0.88993,1.01621,0.93701,0.9467,0.97614,0.46745,1.91644,0.67665,1.50945,0.000900844,0.000900844,0.000900844
43,2937.84,1.13981,0.89544,1.02144,0.95389,0.95639,0.98247,0.57713,1.53946,0.54306,1.14262,0.000896127,0.000896127,0.000896127
44,3005.87,1.11636,0.86746,1.00913,0.95053,0.92408,0.96602,0.41618,2.07115,0.77406,1.62351,0.000891313,0.000891313,0.000891313
45,3073.89,1.10365,0.83619,1.00436,0.97026,0.95395,0.9882,0.61744,1.38961,0.50874,1.08147,0.000886404,0.000886404,0.000886404
46,3141.81,1.11341,0.8511,1.00455,0.9764,0.9552,0.98788,0.58537,1.49248,0.50214,1.12234,0.000881401,0.000881401,0.000881401
47,3209.8,1.11572,0.84736,1.0076,0.962,0.95862,0.97934,0.5331,1.67911,0.62758,1.32768,0.000876305,0.000876305,0.000876305
48,3277.76,1.1565,0.86177,1.00828,0.95683,0.94354,0.97949,0.46687,1.89852,0.64333,1.47755,0.000871117,0.000871117,0.000871117
49,3345.88,1.11709,0.82422,1.00068,0.96318,0.9505,0.98335,0.58576,1.498,0.56453,1.23271,0.000865839,0.000865839,0.000865839
50,3413.82,1.07272,0.81832,0.996,0.97307,0.96021,0.98665,0.64402,1.27584,0.4957,1.09911,0.000860473,0.000860473,0.000860473
51,3481.92,1.08969,0.81642,0.98995,0.9604,0.95231,0.98487,0.5639,1.61913,0.59874,1.31586,0.000855018,0.000855018,0.000855018
52,3550.14,1.05927,0.79306,0.99338,0.94112,0.91651,0.97061,0.49979,1.82321,0.70918,1.463,0.000849477,0.000849477,0.000849477
53,3618.22,1.06822,0.80984,0.98894,0.93847,0.957,0.97906,0.53478,1.58061,0.61018,1.27092,0.000843851,0.000843851,0.000843851
54,3686.23,1.0707,0.79843,0.98456,0.98334,0.95633,0.99093,0.77873,0.81694,0.35942,0.92465,0.000838141,0.000838141,0.000838141
55,3754.59,1.05729,0.79574,0.98695,0.98265,0.95993,0.98832,0.63618,1.35545,0.47057,1.07637,0.000832349,0.000832349,0.000832349
56,3822.99,1.06056,0.78491,0.9893,0.97157,0.9399,0.97627,0.49795,1.77821,0.62101,1.39322,0.000826477,0.000826477,0.000826477
57,3891.18,1.04413,0.77368,0.97881,0.97794,0.95922,0.98582,0.72438,0.97609,0.40572,0.96663,0.000820525,0.000820525,0.000820525
